Name,id,Product,Weight(kg),Arrival,BestBefore,Maximum
rahu,2957258461367610484,Jack Fruit,22.5,2013-06-25,2013-07-01,25.0
vijayanta,4365782647811874623,Papaya,57.5,2013-06-25,2013-07-01,60.0
mehtab,-7306772913005020966,Tomato Big,32.5,2013-06-26,2013-07-02,35.0
santo,4612333139155000023,Tomato Small,22.5,2013-06-26,2013-07-02,25.0
shefali,-2298907791602927432,Potato Red,22.5,2013-06-26,2013-07-02,23.0
rahu,2957258461367610484,Potato White,17.5,2013-06-26,2013-07-02,18.0
gulnaz,495265023589704168,Carrot,37.5,2013-06-26,2013-07-02,40.0
fakir,1247089047928546332,Raddish Red,37.5,2013-06-26,2013-07-02,40.0
pushpa,6250299447907893656,Brinjal Long,32.5,2013-06-26,2013-07-02,35.0
nakched,-4960447786618205247,Okara,37.5,2013-06-26,2013-07-02,40.0
monish,-2881186788928815126,Brocauli,75.0,2013-06-26,2013-07-02,80.0
haneef,5040385076877893978,Apple,120.0,2013-06-26,2013-07-02,130.0
mehnaz,-6840582954423772625,Banana,65.0,2013-06-26,2013-07-02,70.0
rajbir,-5254222139817084366,Lime,300.0,2013-06-26,2013-07-02,400.0
gulnaz,495265023589704168,Mango,55.0,2013-06-26,2013-07-02,60.0
sanjeev,2699564478308651307,Grapes,255.0,2013-06-26,2013-07-02,260.0
mercy,-5690939918981728182,Jack Fruit,22.5,2013-06-26,2013-07-02,25.0
mehtab,-7306772913005020966,Papaya,55.0,2013-06-26,2013-07-02,60.0
jagdiesh,4105505874232099421,Tomato Big,32.5,2013-06-27,2013-07-03,35.0
sawan,-6149529968967915582,Tomato Small,21.0,2013-06-27,2013-07-03,24.0
shefali,-2298907791602927432,Potato Red,23.0,2013-06-27,2013-07-03,24.0
jasmen,-936895894803863828,Potato White,19.5,2013-06-27,2013-07-03,20.0
ramotar,-2173245710817273785,Carrot,41.0,2013-06-27,2013-07-03,42.0
jasmen,-936895894803863828,Raddish Red,37.5,2013-06-27,2013-07-03,40.0
monish,-2881186788928815126,Brinjal Long,37.5,2013-06-27,2013-07-03,40.0
monish,-2881186788928815126,Okara,37.5,2013-06-27,2013-07-03,40.0
mercy,-5690939918981728182,Apple,115.0,2013-06-27,2013-07-03,120.0
raisuddin,-1894351938747062086,Banana,55.0,2013-06-27,2013-07-03,60.0
shanta,2960310750304784655,Lime,300.0,2013-06-27,2013-07-03,400.0
sawan,-6149529968967915582,Mango,55.0,2013-06-27,2013-07-03,60.0
monish,-2881186788928815126,Grapes,255.0,2013-06-27,2013-07-03,260.0
rampayari,2968148604061203207,Jack Fruit,19.0,2013-06-27,2013-07-03,20.0
guldasta,-7906434419713185929,Papaya,57.5,2013-06-27,2013-07-03,60.0
anushka,-3763883785994142627,Tomato Big,32.5,2013-06-28,2013-07-04,35.0
divy,830602817135085407,Tomato Small,26.0,2013-06-28,2013-07-04,28.0
guldasta,-7906434419713185929,Potato Red,23.5,2013-06-28,2013-07-04,24.0
monish,-2881186788928815126,Potato White,19.5,2013-06-28,2013-07-04,20.0
aamina,-3709490872329022915,Carrot,41.0,2013-06-28,2013-07-04,42.0
mercy,-5690939918981728182,Raddish Red,37.5,2013-06-28,2013-07-04,40.0
ramotar,-2173245710817273785,Brinjal Long,37.5,2013-06-28,2013-07-04,40.0
shefali,-2298907791602927432,Okara,37.5,2013-06-28,2013-07-04,40.0
mehtab,-7306772913005020966,Apple,115.0,2013-06-28,2013-07-04,120.0
vijayanta,4365782647811874623,Banana,55.0,2013-06-28,2013-07-04,60.0
patik,2723030288162985091,Lime,300.0,2013-06-28,2013-07-04,400.0
rajbir,-5254222139817084366,Mango,55.0,2013-06-28,2013-07-04,60.0
pinky,-788253433629545359,Grapes,255.0,2013-06-28,2013-07-04,260.0
raisuddin,-1894351938747062086,Jack Fruit,19.0,2013-06-28,2013-07-04,20.0
rahu,2957258461367610484,Papaya,55.0,2013-06-28,2013-07-04,60.0
santo,4612333139155000023,Tomato Big,27.5,2013-06-30,2013-07-06,30.0
shefali,-2298907791602927432,Tomato Small,20.0,2013-06-30,2013-07-06,22.0
pushpa,6250299447907893656,Potato Red,23.5,2013-06-30,2013-07-06,24.0
jasmen,-936895894803863828,Potato White,19.5,2013-06-30,2013-07-06,20.0
pinky,-788253433629545359,Carrot,42.5,2013-06-30,2013-07-06,45.0
rahu,2957258461367610484,Raddish Red,47.5,2013-06-30,2013-07-06,50.0
pushpa,6250299447907893656,Brinjal Long,37.5,2013-06-30,2013-07-06,40.0
shanta,2960310750304784655,Okara,42.5,2013-06-30,2013-07-06,45.0
sanjeev,2699564478308651307,Apple,115.0,2013-06-30,2013-07-06,120.0
patik,2723030288162985091,Banana,45.0,2013-06-30,2013-07-06,50.0
anushka,-3763883785994142627,Lime,300.0,2013-06-30,2013-07-06,400.0
rajbir,-5254222139817084366,Mango,55.0,2013-06-30,2013-07-06,60.0
preetam,-2213805873980470021,Jack Fruit,17.5,2013-06-30,2013-07-06,20.0
haneef,5040385076877893978,Tomato Big,27.5,2013-07-01,2013-07-07,30.0
mehtab,-7306772913005020966,Tomato Small,17.5,2013-07-01,2013-07-07,20.0
vijayanta,4365782647811874623,Potato Red,23.0,2013-07-01,2013-07-07,24.0
mercy,-5690939918981728182,Potato White,19.5,2013-07-01,2013-07-07,20.0
mehnaz,-6840582954423772625,Carrot,47.5,2013-07-01,2013-07-07,50.0
divy,830602817135085407,Raddish Red,47.5,2013-07-01,2013-07-07,50.0
mehtab,-7306772913005020966,Brinjal Long,37.5,2013-07-01,2013-07-07,40.0
divy,830602817135085407,Okara,42.5,2013-07-01,2013-07-07,45.0
divy,830602817135085407,Apple,115.0,2013-07-01,2013-07-07,120.0
mehtab,-7306772913005020966,Banana,45.0,2013-07-01,2013-07-07,50.0
pramal,-2691605640747198609,Lime,300.0,2013-07-01,2013-07-07,400.0
jagdiesh,4105505874232099421,Mango,55.0,2013-07-01,2013-07-07,60.0
mehnaz,-6840582954423772625,Grapes,255.0,2013-07-01,2013-07-07,260.0
haneef,5040385076877893978,Jack Fruit,17.5,2013-07-01,2013-07-07,20.0
nakched,-4960447786618205247,Papaya,57.5,2013-07-01,2013-07-07,60.0
guldasta,-7906434419713185929,Tomato Big,32.5,2013-07-02,2013-07-08,35.0
shanta,2960310750304784655,Tomato Small,17.5,2013-07-02,2013-07-08,20.0
rahu,2957258461367610484,Potato Red,23.5,2013-07-02,2013-07-08,24.0
shanta,2960310750304784655,Potato White,19.0,2013-07-02,2013-07-08,20.0
pramal,-2691605640747198609,Carrot,47.5,2013-07-02,2013-07-08,50.0
patik,2723030288162985091,Brinjal Long,32.5,2013-07-02,2013-07-08,35.0
sawan,-6149529968967915582,Okara,40.0,2013-07-02,2013-07-08,42.0
jagdiesh,4105505874232099421,Apple,120.0,2013-07-02,2013-07-08,130.0
aamina,-3709490872329022915,Banana,45.0,2013-07-02,2013-07-08,50.0
jagdiesh,4105505874232099421,Lime,300.0,2013-07-02,2013-07-08,400.0
haneef,5040385076877893978,Mango,55.0,2013-07-02,2013-07-08,60.0
monish,-2881186788928815126,Grapes,240.0,2013-07-02,2013-07-08,250.0
gulnaz,495265023589704168,Jack Fruit,85.0,2013-07-02,2013-07-08,150.0
aamina,-3709490872329022915,Papaya,57.5,2013-07-02,2013-07-08,60.0
mehtab,-7306772913005020966,Tomato Big,32.5,2013-07-03,2013-07-09,35.0
rajbir,-5254222139817084366,Tomato Small,16.0,2013-07-03,2013-07-09,18.0
ramotar,-2173245710817273785,Potato Red,22.5,2013-07-03,2013-07-09,23.0
santo,4612333139155000023,Potato White,18.5,2013-07-03,2013-07-09,19.0
rampayari,2968148604061203207,Carrot,47.5,2013-07-03,2013-07-09,50.0
rampayari,2968148604061203207,Brinjal Long,37.5,2013-07-03,2013-07-09,40.0
nakched,-4960447786618205247,Okara,42.5,2013-07-03,2013-07-09,45.0
jasmen,-936895894803863828,Apple,115.0,2013-07-03,2013-07-09,120.0
rahu,2957258461367610484,Banana,45.0,2013-07-03,2013-07-09,50.0
vijayanta,4365782647811874623,Lime,300.0,2013-07-03,2013-07-09,400.0
fakir,1247089047928546332,Mango,55.0,2013-07-03,2013-07-09,60.0
guldasta,-7906434419713185929,Grapes,255.0,2013-07-03,2013-07-09,260.0
mercy,-5690939918981728182,Jack Fruit,17.5,2013-07-03,2013-07-09,20.0
haneef,5040385076877893978,Papaya,57.5,2013-07-03,2013-07-09,60.0
nakched,-4960447786618205247,Tomato Big,32.5,2013-07-04,2013-07-10,35.0
shefali,-2298907791602927432,Tomato Small,16.0,2013-07-04,2013-07-10,18.0
rahu,2957258461367610484,Potato Red,23.5,2013-07-04,2013-07-10,24.0
jasmen,-936895894803863828,Potato White,18.5,2013-07-04,2013-07-10,19.0
preetam,-2213805873980470021,Carrot,47.5,2013-07-04,2013-07-10,50.0
rampayari,2968148604061203207,Brinjal Long,37.5,2013-07-04,2013-07-10,40.0
guldasta,-7906434419713185929,Okara,42.0,2013-07-04,2013-07-10,44.0
rajbir,-5254222139817084366,Apple,105.0,2013-07-04,2013-07-10,110.0
anushka,-3763883785994142627,Banana,45.0,2013-07-04,2013-07-10,50.0
mercy,-5690939918981728182,Lime,300.0,2013-07-04,2013-07-10,400.0
shanta,2960310750304784655,Mango,55.0,2013-07-04,2013-07-10,60.0
shanta,2960310750304784655,Grapes,255.0,2013-07-04,2013-07-10,260.0
monish,-2881186788928815126,Jack Fruit,17.5,2013-07-04,2013-07-10,20.0
pramal,-2691605640747198609,Papaya,55.0,2013-07-04,2013-07-10,60.0
ramotar,-2173245710817273785,Tomato Big,32.5,2013-07-05,2013-07-11,35.0
pramal,-2691605640747198609,Tomato Small,21.0,2013-07-05,2013-07-11,24.0
mercy,-5690939918981728182,Potato Red,23.0,2013-07-05,2013-07-11,24.0
pinky,-788253433629545359,Potato White,18.5,2013-07-05,2013-07-11,19.0
rahu,2957258461367610484,Carrot,47.5,2013-07-05,2013-07-11,50.0
preetam,-2213805873980470021,Brinjal Long,37.5,2013-07-05,2013-07-11,40.0
mehnaz,-6840582954423772625,Okara,42.5,2013-07-05,2013-07-11,45.0
rahu,2957258461367610484,Apple,105.0,2013-07-05,2013-07-11,110.0
haneef,5040385076877893978,Banana,45.0,2013-07-05,2013-07-11,50.0
jagdiesh,4105505874232099421,Lime,300.0,2013-07-05,2013-07-11,400.0
pinky,-788253433629545359,Mango,55.0,2013-07-05,2013-07-11,60.0
rajbir,-5254222139817084366,Grapes,255.0,2013-07-05,2013-07-11,260.0
mercy,-5690939918981728182,Jack Fruit,17.5,2013-07-05,2013-07-11,20.0
pushpa,6250299447907893656,Papaya,55.0,2013-07-05,2013-07-11,60.0
divy,830602817135085407,Tomato Big,57.5,2013-07-09,2013-07-15,60.0
raisuddin,-1894351938747062086,Tomato Small,22.5,2013-07-09,2013-07-15,25.0
jasmen,-936895894803863828,Potato Red,23.5,2013-07-09,2013-07-15,24.0
rampayari,2968148604061203207,Potato White,19.0,2013-07-09,2013-07-15,20.0
preetam,-2213805873980470021,Carrot,37.5,2013-07-09,2013-07-15,40.0
ramotar,-2173245710817273785,Brinjal Long,39.0,2013-07-09,2013-07-15,40.0
monish,-2881186788928815126,Okara,37.5,2013-07-09,2013-07-15,40.0
sawan,-6149529968967915582,Apple,105.0,2013-07-09,2013-07-15,110.0
divy,830602817135085407,Banana,45.0,2013-07-09,2013-07-15,50.0
jagdiesh,4105505874232099421,Lime,300.0,2013-07-09,2013-07-15,400.0
jagdiesh,4105505874232099421,Mango,60.0,2013-07-09,2013-07-15,70.0
rajbir,-5254222139817084366,Grapes,255.0,2013-07-09,2013-07-15,260.0
preetam,-2213805873980470021,Jack Fruit,17.5,2013-07-09,2013-07-15,20.0
shefali,-2298907791602927432,Papaya,55.0,2013-07-09,2013-07-15,60.0
preetam,-2213805873980470021,Tomato Big,57.5,2013-07-10,2013-07-16,60.0
rampayari,2968148604061203207,Tomato Small,32.5,2013-07-10,2013-07-16,35.0
nakched,-4960447786618205247,Potato Red,23.5,2013-07-10,2013-07-16,24.0
nakched,-4960447786618205247,Potato White,19.0,2013-07-10,2013-07-16,20.0
pramal,-2691605640747198609,Carrot,37.5,2013-07-10,2013-07-16,40.0
guldasta,-7906434419713185929,Brinjal Long,42.5,2013-07-10,2013-07-16,45.0
sawan,-6149529968967915582,Okara,37.5,2013-07-10,2013-07-16,40.0
santo,4612333139155000023,Apple,115.0,2013-07-10,2013-07-16,120.0
monish,-2881186788928815126,Banana,55.0,2013-07-10,2013-07-16,60.0
fakir,1247089047928546332,Lime,400.0,2013-07-10,2013-07-16,500.0
pramal,-2691605640747198609,Mango,75.0,2013-07-10,2013-07-16,80.0
pramal,-2691605640747198609,Grapes,260.0,2013-07-10,2013-07-16,270.0
shanta,2960310750304784655,Jack Fruit,17.5,2013-07-10,2013-07-16,20.0
sanjeev,2699564478308651307,Papaya,55.0,2013-07-10,2013-07-16,60.0
guldasta,-7906434419713185929,Tomato Big,57.5,2013-07-11,2013-07-17,60.0
rajbir,-5254222139817084366,Tomato Small,35.0,2013-07-11,2013-07-17,38.0
fakir,1247089047928546332,Potato Red,23.5,2013-07-11,2013-07-17,24.0
gulnaz,495265023589704168,Potato White,19.0,2013-07-11,2013-07-17,20.0
shefali,-2298907791602927432,Carrot,37.5,2013-07-11,2013-07-17,40.0
pushpa,6250299447907893656,Brinjal Long,37.5,2013-07-11,2013-07-17,40.0
pushpa,6250299447907893656,Okara,34.0,2013-07-11,2013-07-17,36.0
haneef,5040385076877893978,Apple,105.0,2013-07-11,2013-07-17,110.0
monish,-2881186788928815126,Banana,55.0,2013-07-11,2013-07-17,60.0
monish,-2881186788928815126,Lime,400.0,2013-07-11,2013-07-17,500.0
haneef,5040385076877893978,Mango,65.0,2013-07-11,2013-07-17,70.0
aamina,-3709490872329022915,Grapes,255.0,2013-07-11,2013-07-17,260.0
monish,-2881186788928815126,Jack Fruit,16.5,2013-07-11,2013-07-17,18.0
gulnaz,495265023589704168,Papaya,55.0,2013-07-11,2013-07-17,60.0
aamina,-3709490872329022915,Tomato Big,75.0,2013-07-12,2013-07-18,80.0
preetam,-2213805873980470021,Tomato Small,46.0,2013-07-12,2013-07-18,48.0
sanjeev,2699564478308651307,Potato Red,23.5,2013-07-12,2013-07-18,24.0
gulnaz,495265023589704168,Potato White,19.5,2013-07-12,2013-07-18,20.0
preetam,-2213805873980470021,Carrot,47.5,2013-07-12,2013-07-18,50.0
ramotar,-2173245710817273785,Brinjal Long,35.0,2013-07-12,2013-07-18,40.0
anushka,-3763883785994142627,Okara,32.5,2013-07-12,2013-07-18,35.0
aamina,-3709490872329022915,Apple,105.0,2013-07-12,2013-07-18,110.0
raisuddin,-1894351938747062086,Banana,55.0,2013-07-12,2013-07-18,60.0
raisuddin,-1894351938747062086,Lime,450.0,2013-07-12,2013-07-18,500.0
preetam,-2213805873980470021,Mango,65.0,2013-07-12,2013-07-18,70.0
rajbir,-5254222139817084366,Grapes,255.0,2013-07-12,2013-07-18,260.0
shefali,-2298907791602927432,Jack Fruit,17.5,2013-07-12,2013-07-18,20.0
patik,2723030288162985091,Papaya,47.5,2013-07-12,2013-07-18,50.0
jasmen,-936895894803863828,Tomato Big,77.5,2013-07-14,2013-07-20,80.0
rampayari,2968148604061203207,Tomato Small,52.5,2013-07-14,2013-07-20,55.0
aamina,-3709490872329022915,Potato Red,24.0,2013-07-14,2013-07-20,24.0
pramal,-2691605640747198609,Potato White,18.5,2013-07-14,2013-07-20,19.0
guldasta,-7906434419713185929,Carrot,47.5,2013-07-14,2013-07-20,50.0
gulnaz,495265023589704168,Brinjal Long,42.5,2013-07-14,2013-07-20,45.0
nakched,-4960447786618205247,Okara,36.0,2013-07-14,2013-07-20,38.0
rajbir,-5254222139817084366,Apple,105.0,2013-07-14,2013-07-20,110.0
ramotar,-2173245710817273785,Banana,45.0,2013-07-14,2013-07-20,50.0
shanta,2960310750304784655,Lime,350.0,2013-07-14,2013-07-20,400.0
guldasta,-7906434419713185929,Mango,65.0,2013-07-14,2013-07-20,70.0
divy,830602817135085407,Grapes,255.0,2013-07-14,2013-07-20,260.0
guldasta,-7906434419713185929,Jack Fruit,15.0,2013-07-14,2013-07-20,16.0
sanjeev,2699564478308651307,Papaya,47.5,2013-07-14,2013-07-20,50.0
sawan,-6149529968967915582,Tomato Big,77.5,2013-07-15,2013-07-21,80.0
pramal,-2691605640747198609,Tomato Small,52.5,2013-07-15,2013-07-21,55.0
raisuddin,-1894351938747062086,Potato Red,23.5,2013-07-15,2013-07-21,24.0
nakched,-4960447786618205247,Potato White,19.5,2013-07-15,2013-07-21,20.0
preetam,-2213805873980470021,Carrot,37.5,2013-07-15,2013-07-21,40.0
pinky,-788253433629545359,Brinjal Long,37.5,2013-07-15,2013-07-21,40.0
raisuddin,-1894351938747062086,Okara,32.5,2013-07-15,2013-07-21,35.0
santo,4612333139155000023,Apple,105.0,2013-07-15,2013-07-21,110.0
gulnaz,495265023589704168,Banana,45.0,2013-07-15,2013-07-21,50.0
preetam,-2213805873980470021,Lime,350.0,2013-07-15,2013-07-21,400.0
rampayari,2968148604061203207,Mango,65.0,2013-07-15,2013-07-21,70.0
vijayanta,4365782647811874623,Grapes,255.0,2013-07-15,2013-07-21,260.0
jagdiesh,4105505874232099421,Jack Fruit,15.5,2013-07-15,2013-07-21,16.0
fakir,1247089047928546332,Papaya,52.5,2013-07-15,2013-07-21,55.0
divy,830602817135085407,Tomato Big,85.0,2013-07-16,2013-07-22,90.0
vijayanta,4365782647811874623,Tomato Small,50.0,2013-07-16,2013-07-22,52.0
mehtab,-7306772913005020966,Potato Red,23.5,2013-07-16,2013-07-22,24.0
rampayari,2968148604061203207,Potato White,19.5,2013-07-16,2013-07-22,20.0
ramotar,-2173245710817273785,Carrot,47.5,2013-07-16,2013-07-22,50.0
sanjeev,2699564478308651307,Brinjal Long,32.5,2013-07-16,2013-07-22,35.0
ramotar,-2173245710817273785,Okara,37.5,2013-07-16,2013-07-22,40.0
pushpa,6250299447907893656,Apple,105.0,2013-07-16,2013-07-22,110.0
aamina,-3709490872329022915,Banana,55.0,2013-07-16,2013-07-22,60.0
raisuddin,-1894351938747062086,Lime,350.0,2013-07-16,2013-07-22,400.0
patik,2723030288162985091,Mango,365.0,2013-07-16,2013-07-22,660.0
sawan,-6149529968967915582,Grapes,275.0,2013-07-16,2013-07-22,300.0
preetam,-2213805873980470021,Jack Fruit,17.5,2013-07-16,2013-07-22,20.0
shanta,2960310750304784655,Papaya,52.5,2013-07-16,2013-07-22,55.0
pinky,-788253433629545359,Tomato Big,85.0,2013-07-17,2013-07-23,90.0
haneef,5040385076877893978,Tomato Small,49.0,2013-07-17,2013-07-23,52.0
patik,2723030288162985091,Potato Red,23.5,2013-07-17,2013-07-23,24.0
divy,830602817135085407,Potato White,18.5,2013-07-17,2013-07-23,19.0
